word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
bank,bæŋk,n. sloping land (especially the slope beside a body of water)\nn. a long ridge or pile\nn. an arrangement of similar objects in a row or in tiers\nn. a supply or stock held in reserve for future use (especially in emergencies),"n. 银行, 堤, 岸\n[医] 库",,1,1,zk gk ielts,406,663,s:banks/i:banking/d:banked/p:banked/3:banks,,
banker,'bæŋkә,n. a financier who owns or is an executive in a bank\nn. the person in charge of the bank in a gambling game,"n. 银行家, 庄家\n[经] 银行业者, 银行家",,3,,cet6 toefl,4334,4421,s:bankers,,
bankrupt,'bæŋkrʌpt,n. someone who has insufficient assets to cover their debts\nv. reduce to bankruptcy\ns. financially ruined,n. 破产者\na. 破产的\nvt. 使破产,,2,,cet6 ky toefl ielts gre,7629,8878,s:bankrupts/d:bankrupted/p:bankrupted/3:bankrupts/i:bankrupting,,
bankruptcy,'bæŋkrәptsi,n. a state of complete lack of some abstract property\nn. inability to discharge all your debts as they come due\nn. a legal process intended to insure equality among the creditors of a corporation declared to be insolvent,"n. 破产者\n[经] 破产, 倒闭",,2,,cet6 toefl,5401,4171,s:bankruptcies,,
banner,'bænә,n. long strip of cloth or paper used for decoration or advertising\ns. unusually good; outstanding,"n. 旗帜\na. 显著的, 特别好的",,2,,cet4 ky toefl ielts,5950,5333,s:banners/p:bannered,,
banquet,'bæŋkwit,n. a ceremonial dinner party for many people\nn. a meal that is well prepared and greatly enjoyed,n. 宴会,,1,,cet6 ky toefl ielts gre,9592,9056,s:banquets/i:banquetting/p:banqueted/3:banquets/d:banqueted,,
bar,bɑ:,n. a counter where you can obtain food or drink\nn. a rigid piece of metal or wood; usually used as a fastening or obstruction or weapon\nn. an obstruction (usually metal) placed at the top of a goal\nn. (meteorology) a unit of pressure equal to a million dynes per square centimeter,"n. 条, 棒, 酒吧, 栅, 障碍物\nvt. 禁止, 阻挡, 妨碍\n[计] 棒形图",,4,1,gk cet4 ky toefl ielts gre,993,991,s:bars/d:barred/p:barred/i:barring/3:bars,,
barbecue,'bɑ:bikju:,n. meat that has been barbecued or grilled in a highly seasoned sauce\nn. a cookout in which food is cooked over an open fire; especially a whole animal carcass roasted on a spit\nn. a rack to hold meat for cooking over hot charcoal usually out of doors,"n. 烤肉\nvt. 烤肉, 烧烤",,1,,gk ky toefl ielts gre,10040,6778,s:barbecues/3:barbecues/d:barbecued/i:barbecuing/p:barbecued,,
barber,'bɑ:bә,n. United States composer (1910-1981)\nn. a hairdresser who cuts hair and shaves beards as a trade\nv. perform the services of a barber: cut the hair and/or beard of,n. 理发师,,1,,gk cet4 ky toefl ielts,12564,9131,s:barbers/d:barbered/i:barbering/p:barbered/3:barbers,,
barbershop,,n. a shop where men can get their hair cut,n. 理发店,,,,gk,0,16205,,,
bare,bєә,v. lay bare\ns. completely unclothed\ns. lacking in amplitude or quantity\na. lacking its natural or customary covering,"a. 赤裸的, 缺少的, 无遮蔽的, 坦率的\nvt. 使赤裸, 露出",,3,,gk cet4 ky toefl ielts gre,3196,3430,p:bared/t:barest/i:baring/d:bared/3:bares/r:barer,,
barely,'bєәli,r. only a very short time before,adv. 几乎不,,3,,cet4 cet6 ky toefl ielts,3192,1973,,,
bargain,'bɑ:gin,n. an agreement between parties (usually arrived at after discussion) fixing obligations of each\nn. an advantageous purchase\nv. come to terms; arrive at an agreement,"n. 交易, 买卖协定, 特价商品\nv. 讲价, 交易",,3,1,gk cet4 cet6 ky ielts gre,4926,4962,s:bargains/i:bargaining/d:bargained/p:bargained/3:bargains,,
barge,bɑ:dʒ,n. a flatbottom boat for carrying heavy loads (especially on canals)\nv. push one's way\nv. transport by barge on a body of water,"n. 驳船\nvt. 用船运输\nvi. 蹒跚, 闯入",,,,cet6 toefl gre,8945,9954,s:barges/p:barged/i:barging/d:barged/3:barges,,
bark,bɑ:k,n. tough protective covering of the woody stems and roots of trees and other woody plants\nn. a noise resembling the bark of a dog\nn. a sailing ship with 3 (or more) masts\nn. the sound made by a dog,"n. 树皮, 吠声\nvi. 吠, 叫骂\nvt. 喊出, 剥树皮",,2,,gk cet4 cet6 ky toefl ielts gre,6605,5831,p:barked/i:barking/s:barks/d:barked/3:barks,,
barley,'bɑ:li,n. a grain of barley\nn. cultivated since prehistoric times; grown for forage and grain,n. 大麦\n[医] 大麦,,1,,cet6,7822,11471,s:barleys,,
barn,bɑ:n,n. an outlying farm building for storing grain or animal feed and housing farm animals\nn. (physics) a unit of nuclear cross section; the effective circular area that one particle presents to another as a target for an encounter,n. 谷仓\n[化] 靶(恩)(核反应截面单位),,2,,cet4 cet6 ky toefl ielts gre,4202,4108,s:barns,,
barometer,bә'rɒmitә,n. an instrument that measures atmospheric pressure,n. 气压计\n[化] 气压计,,1,,cet6 toefl ielts,14773,16352,s:barometers,,
baron,'bærәn,n. a nobleman (in various countries) of varying rank\nn. a British peer of the lowest rank\nn. a very wealthy or powerful businessman,"n. 男爵\n[法] 男爵, 贵族, 大王",,1,,cet6 gre,5078,11092,s:barons,,
barrel,'bærәl,n. a tube through which a bullet travels when a gun is fired\nn. a cylindrical container that holds liquids\nn. a bulging cylindrical shape; hollow with flat ends\nn. the quantity that a barrel (of any size) will hold,n. 桶\nvt. 装入桶内,,3,,cet4 cet6 ky toefl ielts,4469,3084,s:barrels/d:barrelled/i:barrelling/p:barrelled/3:barrels,,
barren,'bærәn,n. an uninhabited wilderness that is worthless for cultivation\ns. not bearing offspring\ns. completely wanting or lacking,"a. 不育的, 贫瘠的\nn. 荒地",,1,,cet6 ky toefl ielts gre,9656,8809,s:barrens,,
barrier,'bæriә,n. a structure or object that impedes free movement\nn. any condition that makes it difficult to make progress or to achieve an objective\nn. anything serving to maintain separation by obstructing vision or access,"n. 障碍, 栅栏\n[化] 势垒; 阻片; 阻挡层",,3,1,gk cet4 cet6 ky toefl ielts gre,2629,2609,s:barriers,,
base,beis,n. installation from which a military force initiates operations\nn. a place that the runner must touch before scoring\nn. the bottom or lowest part\nn. (anatomy) the part of an organ nearest its point of attachment,"n. 底部, 垒, 基础, 基地\nvt. 以...作基础\na. 卑鄙的, 低劣的\n[计] 基准",,5,1,gk cet4 ky gre,514,536,d:based/p:based/i:basing/3:bases/r:baser,,
baseball,'beisbɒ:l,n. a ball game played with a bat and ball between two teams of nine players; teams take turns at bat trying to score runs\nn. a ball used in playing baseball,n. 棒球\n[计] 棒球系统,,3,,zk gk cet4 cet6 ky ielts,10008,1373,,,
basement,'beismәnt,n. the lowermost portion of a structure partly or wholly below ground level; often used for storage\nn. the ground floor facade or interior in Renaissance architecture,"n. 地下室, 墙脚\n[化] 地下室",,2,,gk cet6 ky toefl ielts,5987,3598,s:basements,,
